Year,quarter,city1,city 1 latitude,city 1 longitude,city2,city 2 latitude,city 2 longitude,fare,,,,,,,city 1 temp,city 1 latitude temp,city 2 longitude temp,city 2 temp,city 2 latitude temp,city 2 longitude temp
2023,1,"Huntsville, Alabama",34.7303688,-86.5861037,"Washington, DC (Metropolitan Area)",39.1289725,-77.3783789,315.42,,,,,,,"Myrtle Beach, South Carolina",33.6954218,-78.8802094,"Sacramento, California",38.5815719,-121.4943996
2023,1,"Albany, New York",42.6525793,-73.7562317,"Washington, DC (Metropolitan Area)",39.1289725,-77.3783789,215.73,,,,,,,Nantucket,41.28394,-70.0999891,Salt Lake City,40.7607793,-111.8910474
2023,1,"Albany, New York",42.6525793,-73.7562317,"Orlando, Florida",28.5383832,-81.3789269,210.85,,,,,,,"Nashville, Tennessee",36.1626638,-86.7816016,San Antonio,29.4251905,-98.4945922
2023,1,"Albany, New York",42.6525793,-73.7562317,Miami,25.7616798,-80.1917902,231.37,,,,,,,"New Haven, Connecticut",41.308274,-72.9278835,San Diego,32.715738,-117.1610838
2023,1,"Albany, New York",42.6525793,-73.7562317,"Tampa, Florida",27.9516896,-82.4587527,208.59,,,,,,,New Orleans,29.9510658,-90.0715323,San Francisco,37.7749295,-122.4194155
2023,1,"Amarillo, Texas",35.2219971,-101.8312969,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,188.73,,,,,,,New York City,40.7127753,-74.0059728,"Sanford, Florida",28.8028612,-81.269453
2023,1,Denver,39.7392358,-104.990251,Pittsburgh,40.4406248,-79.9958864,255.95,,,,,,,"Niagara Falls, New York",43.0962143,-79.0377388,"Santa Barbara, California",34.4208305,-119.6981901
2023,1,Denver,39.7392358,-104.990251,"Tucson, Arizona",32.2539787,-110.9741769,210.54,,,,,,,"Norfolk, Virginia",36.8507689,-76.2858726,"Santa Rosa, California",38.440429,-122.7140548
2023,1,Denver,39.7392358,-104.990251,"Phoenix, Arizona",33.4483771,-112.0740373,184.09,,,,,,,Oklahoma City,35.4675602,-97.5164276,"Sarasota/Bradenton, FL",27.336465,-82.5310117
2023,1,Denver,39.7392358,-104.990251,"Hartford, Connecticut",41.7658043,-72.6733723,235.82,,,,,,,"Omaha, Nebraska",41.2565369,-95.9345034,"Savannah, Georgia",32.0808989,-81.091203
2023,1,Denver,39.7392358,-104.990251,Seattle,47.6061389,-122.3328481,175.33,,,,,,,"Orlando, Florida",28.5383832,-81.3789269,Seattle,47.6061389,-122.3328481
2023,1,Denver,39.7392358,-104.990251,"El Paso, Texas",31.7618778,-106.4850217,157.22,,,,,,,"Palm Springs, California",33.8302961,-116.5452921,"Sioux Falls, South Dakota",43.5460223,-96.731265
